3.268 3.26 3.488 3.838 4.578 5.384 6.491 8.018 2.76 2.781 2.837 3.055 3.659 4.73 5.413 6.719 2.369 2.388 2.388 2.674 3.374 4.076 4.661 5.487 2.286 2.13 2.369 2.579 3.141 3.277 3.565 4.492 2.073 2.162 2.196 2.373 2.417 2.563 2.991 3.808 2.051 2.172 2.076 2.095 2.097 2.27 2.589 3.39 1.91 2.003 2.004 2.042 2.091 2.11 2.429 3.115 1.685 1.87 1.957 2.103 2.144 2.143 2.557 3.062 7.765 6.439 5.531 4.484 3.812 3.43 3.421 3.449 6.694 5.325 4.478 3.624 3.108 2.791 2.786 2.901 5.577 4.579 4.149 3.383 2.745 2.408 2.412 2.31 4.641 3.569 3.419 3.019 2.579 2.233 2.19 2.195 3.76 2.988 2.642 2.557 2.445 2.252 2.125 2.122 3.388 2.637 2.267 2.215 2.127 2.06 2.094 2.013 3.114 2.539 2.11 2.087 2.078 1.999 2.018 1.945 3.09 2.605 2.095 2.219 2.036 1.943 1.919 1.732 86.934 43.372 15.081 5.932 2.488 1.252 0.598 0.375 44.584 25.247 10.721 4.68 1.998 1.002 0.531 0.343 15.39 10.831 6.03 2.935 1.58 0.847 0.51 0.351 5.706 4.51 3.046 1.847 1.043 0.613 0.402 0.3 2.524 2.068 1.583 1.118 0.696 0.483 0.3 0.214 1.278 1.09 0.836 0.641 0.443 0.387 0.271 0.196 0.728 0.628 0.529 0.468 0.348 0.292 0.243 0.248 0.508 0.415 0.412 0.384 0.287 0.273 0.231 0.288 0.417 0.689 1.19 2.574 5.647 14.689 43.669 96.092 0.374 0.575 1.011 2.072 4.457 10.39 24.173 44.369 0.311 0.483 0.839 1.509 3.127 5.841 10.602 14.84 0.289 0.38 0.632 1.065 1.824 3.035 4.526 5.942 0.235 0.319 0.473 0.694 1.073 1.562 2.078 2.623 0.222 0.283 0.356 0.494 0.68 0.874 1.024 1.32 0.242 0.28 0.303 0.346 0.451 0.553 0.651 0.701 0.287 0.264 0.244 0.306 0.382 0.42 0.406 0.483 0.298 0.226 0.189 0.134 0.093 0.074 0.068 0.063 0.596 0.452 0.356 0.233 0.129 0.121 0.079 0.066 1.216 0.924 0.657 0.511 0.308 0.192 0.137 0.078 2.604 2.043 1.405 0.916 0.534 0.299 0.155 0.094 5.703 4.522 2.901 1.722 0.906 0.462 0.246 0.153 14.532 10.063 5.839 2.914 1.448 0.697 0.324 0.178 42.247 24.439 10.431 4.463 2.002 0.978 0.436 0.234 93.875 44.606 14.972 5.826 2.673 1.181 0.591 0.342  
3.447 4.089 4.446 4.719 4.89 5.137 5.565 5.605 2.986 3.423 3.653 3.716 3.867 3.982 3.852 3.835 2.503 2.793 3.044 3.153 3.161 3.109 3.077 3.219 2.18 2.4 2.777 2.748 2.859 2.791 2.843 3.005 2.178 2.327 2.422 2.431 2.461 2.484 2.514 2.801 2.043 2.11 2.098 2.227 2.212 2.287 2.25 2.419 1.949 1.986 1.983 1.918 2.128 2.097 2.067 2.169 1.818 1.787 1.87 1.86 1.956 2.026 2.137 2.21 10.124 8.141 6.27 5.238 4.582 4.281 4.014 3.797 8.254 6.786 5.47 4.197 3.612 3.302 3.17 2.911 6.355 5.204 4.694 3.885 3.398 2.969 2.84 2.585 5.182 4.032 3.811 3.366 3.132 2.977 2.671 2.472 4.593 3.475 3.329 3.095 2.757 2.589 2.549 2.281 4.103 3.174 3.037 2.85 2.491 2.465 2.346 2.082 3.869 2.978 2.791 2.649 2.491 2.139 2.19 1.876 3.685 2.79 2.49 2.479 2.329 2.156 1.969 1.797 36.595 87.433 88.008 38.637 13.68 5.507 2.507 1.248 22.799 39.919 40.726 23.022 9.882 4.186 1.99 1.028 10.626 14.231 14.222 10.105 5.506 2.906 1.546 0.841 5.108 5.471 5.587 4.382 2.822 1.757 0.976 0.627 2.502 2.454 2.3 1.916 1.419 1.028 0.666 0.466 1.321 1.192 1.106 0.935 0.774 0.548 0.436 0.354 0.759 0.646 0.566 0.519 0.397 0.384 0.318 0.298 0.609 0.485 0.357 0.397 0.333 0.293 0.28 0.289 2.186 3.322 4.819 6.778 9.444 13.617 19.249 26.093 1.87 2.558 3.773 5.75 8.594 11.94 16.2 19.299 1.621 2.366 3.323 4.969 7.339 9.854 12.076 13.517 1.462 1.892 2.788 4.016 5.634 7.282 8.595 9.709 1.106 1.581 2.233 3.038 4.049 4.794 5.734 6.786 0.99 1.304 1.723 2.252 2.764 3.306 3.835 4.771 0.921 1.034 1.223 1.544 1.941 2.351 2.616 3.315 1.047 0.936 0.962 1.162 1.368 1.599 1.852 2.366 0.288 0.265 0.197 0.185 0.161 0.145 0.118 0.113 0.555 0.441 0.459 0.394 0.308 0.237 0.173 0.129 1.055 1 1 0.82 0.601 0.434 0.29 0.177 2.242 2.208 2.146 1.826 1.255 0.823 0.511 0.281 4.723 5.437 5.414 4.227 2.675 1.531 0.839 0.443 10.244 13.799 14.105 9.992 5.356 2.651 1.317 0.627 22.639 41.19 41.822 22.98 9.847 4.025 1.865 0.87 39.084 92.948 91.058 39.763 13.74 5.362 2.4 1.069  
4.141 4.583 4.869 5.463 5.193 4.937 4.435 4.272 3.251 3.55 3.814 4.073 3.978 3.836 3.484 3.202 2.7 3.045 3.183 3.315 3.192 3.112 3.041 2.671 2.38 2.6 2.9 2.924 2.935 2.894 2.793 2.508 2.272 2.413 2.509 2.582 2.506 2.515 2.382 2.337 2.146 2.205 2.226 2.383 2.266 2.198 2.139 2.128 2.035 2.009 2.069 1.868 2.057 2 1.994 2.119 2.013 1.881 1.887 1.858 1.945 1.937 1.95 2.019 14.037 10.676 8.1 6.771 6.003 5.209 4.367 3.489 10.753 9.039 7.251 5.975 5.109 4.256 3.279 2.657 8.3 7.188 6.214 5.243 4.63 3.785 2.973 2.353 6.821 5.982 5.402 4.903 4.106 3.383 2.769 2.067 5.857 5.039 4.697 4.082 3.623 3.064 2.373 1.882 5.101 4.026 3.828 3.472 2.967 2.584 2.172 1.739 4.055 3.213 3.025 2.563 2.316 2.08 1.806 1.664 3.459 2.716 2.373 2.159 1.9 1.817 1.648 1.761 4.979 13.101 37.486 88.294 93.217 39.292 13.391 5.378 4.019 9.291 21.66 40.38 41.355 22.788 9.682 4.168 2.779 5.144 9.388 13.881 13.596 9.494 5.467 2.883 1.737 2.78 4.083 5.307 5.187 4.013 2.648 1.864 1.1 1.343 1.799 2.202 2.227 1.938 1.382 1.104 0.702 0.743 0.853 1.014 1.039 0.947 0.773 0.715 0.443 0.441 0.517 0.537 0.559 0.52 0.427 0.468 0.342 0.316 0.376 0.378 0.332 0.34 0.332 0.325 3.492 4.387 5.209 5.913 6.861 8.276 10.759 14.768 2.557 3.329 4.279 5.111 5.877 7.129 9.182 10.789 2.311 3.013 3.769 4.706 5.39 6.314 7.062 8.084 2.12 2.713 3.464 4.183 4.785 5.2 5.995 6.997 1.894 2.31 3.034 3.693 4.148 4.643 4.932 5.742 1.784 2.104 2.583 2.992 3.398 3.773 4.068 5.117 1.717 1.805 2.039 2.42 2.694 3.011 3.322 4.39 1.8 1.738 1.835 1.926 2.127 2.307 2.736 3.583 0.178 0.172 0.215 0.24 0.224 0.182 0.177 0.157 0.311 0.331 0.4 0.443 0.458 0.414 0.315 0.292 0.575 0.648 0.834 0.923 0.948 0.78 0.626 0.535 0.992 1.212 1.612 2.106 2.12 1.716 1.275 1.029 1.562 2.475 3.852 5.013 4.993 3.896 2.592 1.61 2.646 5.162 9.147 13.344 13.385 9.263 5.231 2.686 3.888 8.925 21.116 40.198 42.117 22.504 9.427 4.158 5.047 12.732 38.297 91.618 93.982 40.246 13.289 5.078  
5.316 5.613 5.119 4.837 4.772 4.437 4.02 3.677 3.768 3.848 3.861 3.805 3.742 3.711 3.315 2.943 3.272 3.16 3.075 3.207 3.195 3.161 2.859 2.466 3.054 2.843 2.85 2.899 2.784 2.681 2.451 2.233 2.63 2.506 2.514 2.515 2.481 2.391 2.229 2.087 2.372 2.305 2.246 2.243 2.17 2.073 2.034 2.019 2.243 2.19 1.999 2.026 1.97 1.895 1.951 2.037 2.255 2.127 2.074 1.959 1.997 1.87 1.803 1.777 24.517 18.874 13.414 9.574 6.768 4.813 3.307 2.407 19.094 16.041 11.786 8.497 5.924 3.729 2.487 1.867 13.358 11.896 9.855 7.081 4.886 3.277 2.214 1.615 9.612 8.452 7.162 5.64 3.975 2.723 1.9 1.375 6.727 5.689 4.782 3.906 3.03 2.204 1.495 1.177 4.736 3.884 3.303 2.701 2.301 1.692 1.276 0.982 3.375 2.649 2.215 1.948 1.61 1.222 1.044 0.939 2.404 1.933 1.708 1.455 1.145 0.99 0.903 1.084 1.136 2.445 5.463 13.884 41.067 92.222 88.263 38.146 0.948 1.923 4.268 9.852 22.933 42.139 41.124 22.413 0.8 1.487 2.769 5.443 9.871 13.962 13.851 10.359 0.613 1.013 1.729 2.724 4.249 5.317 5.407 4.804 0.381 0.579 0.92 1.347 1.809 2.216 2.245 2.224 0.312 0.37 0.586 0.737 0.852 1.08 1.099 1.229 0.302 0.329 0.368 0.431 0.446 0.603 0.627 0.741 0.255 0.278 0.294 0.301 0.303 0.356 0.446 0.59 3.583 4.123 4.169 4.512 5.209 6.338 8.073 10.505 2.9 3.156 3.346 3.699 4.133 5.305 6.691 8.38 2.506 2.84 3.046 3.355 3.759 4.711 5.431 6.304 2.426 2.751 2.882 3.068 3.377 3.824 4.134 5.129 2.278 2.531 2.685 2.71 3.014 3.364 3.526 4.492 2.018 2.284 2.468 2.483 2.866 3.046 3.288 4.072 1.886 2.029 2.18 2.403 2.562 2.785 2.994 4.028 1.838 1.928 2.185 2.335 2.348 2.472 2.803 3.864 0.093 0.107 0.13 0.145 0.184 0.219 0.242 0.278 0.141 0.158 0.239 0.298 0.376 0.417 0.453 0.489 0.176 0.292 0.395 0.632 0.798 0.889 1.001 0.987 0.281 0.469 0.799 1.312 1.79 2.146 2.118 2.056 0.443 0.79 1.545 2.65 4.045 5.019 5.03 4.532 0.63 1.239 2.632 5.319 9.652 13.657 13.405 9.867 0.875 1.823 4.086 9.751 22.803 41.765 40.461 21.952 1.082 2.302 5.346 13.977 40.741 93.892 91.512 38.39  
7.665 6.519 5.553 4.6 3.773 3.596 3.264 3.46 6.71 5.352 4.431 3.576 2.967 2.883 2.754 2.823 5.498 4.429 3.987 3.316 2.8 2.415 2.41 2.376 4.649 3.439 3.34 2.96 2.467 2.311 2.261 2.265 3.828 2.876 2.654 2.448 2.369 2.145 2.256 2.135 3.435 2.64 2.33 2.152 2.171 2.14 2.12 2.023 3.179 2.543 2.159 2.128 2.018 2.054 2.016 1.961 2.963 2.554 2.149 2.159 2.113 1.982 1.934 1.767 95.927 43.603 15.194 5.902 2.604 1.216 0.628 0.405 45.883 25.181 10.63 4.711 2.115 1.029 0.571 0.362 15.204 10.736 5.937 3.198 1.55 0.801 0.474 0.339 5.957 4.614 3.051 1.87 1.094 0.687 0.37 0.297 2.578 2.123 1.559 1.103 0.744 0.487 0.302 0.244 1.325 1.068 0.826 0.697 0.475 0.363 0.285 0.243 0.728 0.645 0.525 0.445 0.316 0.288 0.297 0.274 0.511 0.41 0.4 0.344 0.311 0.259 0.277 0.3 0.387 0.654 1.186 2.573 5.795 14.852 41.856 93.952 0.37 0.555 1 2.049 4.648 10.456 24.666 44.452 0.324 0.489 0.804 1.54 3.18 5.918 10.683 15.442 0.278 0.38 0.662 1.089 1.928 3.064 4.739 5.874 0.252 0.303 0.474 0.679 1.067 1.661 2.13 2.656 0.239 0.257 0.366 0.481 0.616 0.879 1.142 1.372 0.215 0.252 0.284 0.368 0.442 0.546 0.67 0.706 0.297 0.268 0.278 0.288 0.37 0.402 0.426 0.511 3.247 3.403 3.477 3.785 4.4 5.54 6.525 8.018 2.843 2.846 2.808 3.089 3.625 4.457 5.494 6.619 2.302 2.247 2.371 2.715 3.32 4.129 4.735 5.554 2.255 2.134 2.257 2.558 3.079 3.283 3.473 4.527 2.255 2.121 2.204 2.357 2.507 2.624 2.897 3.83 2.017 2.172 2.085 2.202 2.151 2.315 2.648 3.447 1.954 1.937 1.999 1.963 2.173 2.077 2.534 3.106 1.757 1.933 1.976 2.191 2.099 2.209 2.518 3.086 0.071 0.07 0.065 0.103 0.132 0.215 0.243 0.297 0.087 0.089 0.117 0.162 0.277 0.388 0.428 0.628 0.084 0.12 0.201 0.297 0.458 0.684 0.931 1.234 0.105 0.17 0.313 0.53 0.922 1.443 2.054 2.628 0.117 0.226 0.436 0.886 1.764 2.962 4.597 5.917 0.186 0.339 0.676 1.486 2.933 5.97 10.769 15.506 0.233 0.46 0.892 1.989 4.488 10.503 24.241 44.51 0.332 0.63 1.237 2.431 5.711 14.944 42.916 92.393  
2.302 2.407 2.524 2.737 2.916 3.26 3.828 5.719 2.137 2.289 2.446 2.505 2.774 3.006 3.569 5.621 2.124 2.113 2.275 2.405 2.748 3.107 3.641 5.025 2.046 2.087 2.202 2.438 2.688 3.045 3.689 4.914 2.038 2.043 2.149 2.438 2.641 3.045 3.39 4.425 1.974 2.072 2.017 2.249 2.496 2.901 3.322 4.181 1.926 1.987 2.028 2.245 2.384 2.704 3.132 3.765 2 2.017 2.096 2.127 2.176 2.436 2.727 3.386 5.492 3.791 3.223 2.923 2.743 2.497 2.353 2.587 5.603 3.834 3.124 2.823 2.555 2.37 2.288 2.237 5.144 3.771 3.118 2.779 2.443 2.21 2.154 2.14 4.686 3.71 3.085 2.695 2.373 2.262 2.071 2.109 4.408 3.486 2.934 2.602 2.345 2.071 2.05 1.927 4.218 3.278 2.912 2.412 2.263 2.127 1.948 1.964 3.818 3.086 2.735 2.386 2.163 2.063 2.076 1.977 3.403 2.689 2.329 2.337 2.122 2.026 1.927 2.052 35.751 21.821 10.44 4.943 2.3 1.234 0.645 0.468 87.499 39.047 13.834 5.479 2.23 1.104 0.551 0.367 91.157 41.104 14.389 5.42 2.299 1.05 0.515 0.309 41.718 23.306 9.976 4.424 1.894 0.92 0.479 0.308 14.323 10.133 5.561 2.88 1.453 0.76 0.405 0.251 5.623 4.288 2.916 1.801 1.012 0.57 0.395 0.304 2.489 2.055 1.491 1.084 0.697 0.462 0.317 0.259 1.287 1.029 0.913 0.636 0.517 0.352 0.286 0.275 0.464 0.679 1.177 2.356 4.876 10.379 22.631 36.509 0.332 0.577 1.094 2.225 5.458 14.078 39.304 85.111 0.326 0.542 1.016 2.31 5.311 14.23 41.453 93.811 0.282 0.492 0.947 1.918 4.148 9.913 22.889 41.013 0.286 0.435 0.742 1.459 2.858 5.579 9.794 13.997 0.298 0.377 0.61 1.041 1.724 2.92 4.238 5.388 0.295 0.352 0.48 0.653 1.039 1.572 2.038 2.531 0.298 0.298 0.374 0.514 0.68 0.852 1.087 1.355 2.274 1.761 1.425 1.222 1.023 0.837 0.77 0.881 3.122 2.477 2.125 1.747 1.374 1.199 0.869 0.798 4.52 3.781 3.104 2.593 2.107 1.603 1.19 0.911 6.772 5.717 4.803 3.839 2.824 2.076 1.423 1.008 9.623 8.473 7.083 5.493 3.813 2.618 1.725 1.205 13.432 11.867 9.602 7.001 4.786 3.168 2.088 1.435 19.056 16.104 12.046 8.395 5.604 3.713 2.468 1.702 25.907 19.074 13.437 9.522 6.657 4.623 3.209 2.318  
2.663 3.123 3.332 3.342 3.355 3.387 3.805 5.112 2.526 2.753 3.043 3.162 3.332 3.698 4.093 3.864 2.382 2.649 2.902 3.178 3.334 3.798 3.7 3.23 2.331 2.629 2.945 3.195 3.37 3.403 3.352 3.289 2.209 2.579 2.822 3.121 3.117 3.056 3.043 3.199 2.13 2.417 2.65 2.786 2.838 2.748 2.798 3.252 2.111 2.31 2.403 2.551 2.483 2.52 2.559 2.838 2.124 2.171 2.256 2.364 2.388 2.288 2.318 2.522 6.63 4.729 4.235 3.81 3.45 3.087 2.989 2.642 6.739 4.969 4.286 3.769 3.292 2.931 2.724 2.48 6.596 5.077 4.298 3.666 3.328 3.008 2.717 2.451 6.148 4.948 4.266 3.765 3.195 2.89 2.619 2.275 5.687 4.527 3.916 3.51 3.101 2.843 2.559 2.263 4.914 3.856 3.403 3.07 2.884 2.707 2.465 2.349 4.343 3.493 3.037 2.797 2.658 2.525 2.482 2.233 3.945 3.084 2.882 2.722 2.558 2.433 2.343 2.228 19.828 34.835 34.994 21.427 9.896 4.725 2.294 1.211 35.567 88.868 85.682 37.815 13.298 5.047 2.316 1.065 35.406 89.31 90.467 39.936 13.56 5.233 2.321 1.058 21.103 38.699 40.691 22.925 9.72 4.127 1.882 0.929 9.683 13.171 13.355 9.546 5.512 2.769 1.472 0.813 4.789 5.274 5.198 4.212 2.681 1.735 1.033 0.637 2.424 2.324 2.218 1.92 1.421 1.052 0.696 0.472 1.262 1.156 1.089 0.979 0.779 0.616 0.525 0.503 1.791 2.407 3.758 5.514 7.935 11.06 14.246 16.836 1.698 2.518 3.831 5.906 8.657 12.019 16.6 20.955 1.746 2.513 3.777 5.996 8.552 12.063 16.641 20.865 1.58 2.397 3.47 5.297 7.751 10.833 14.247 16.514 1.42 2.07 3.231 4.458 6.489 8.752 10.643 12.433 1.32 1.764 2.477 3.533 5.126 6.549 7.857 9.009 1.157 1.488 2.063 2.831 3.694 4.646 5.502 6.526 1.299 1.488 1.84 2.26 2.682 3.14 3.728 4.684 1.574 1.615 1.614 1.54 1.346 1.253 1.015 1.03 2.367 2.395 2.35 2.139 2.029 1.713 1.352 1.332 3.554 3.75 3.72 3.445 2.956 2.379 1.89 1.699 5.29 5.855 5.821 5.156 4.498 3.488 2.65 2.178 7.877 8.8 8.635 7.53 6.395 4.987 3.404 2.491 10.804 11.86 11.824 10.682 8.655 6.644 4.403 3.045 13.959 16.477 16.712 14.141 10.688 7.892 5.452 3.533 16.658 20.397 20.369 16.753 12.448 9.06 6.407 4.568  
3.147 3.598 3.699 3.694 3.647 3.597 3.552 3.379 2.849 3.146 3.47 3.868 3.843 3.62 3.131 2.817 2.726 3.009 3.459 3.803 3.835 3.334 2.991 2.879 2.79 2.904 3.11 3.4 3.467 3.377 2.924 2.744 2.534 2.953 3.05 3.201 3.096 3.017 2.94 2.654 2.509 2.702 2.688 2.875 2.869 2.728 2.708 2.564 2.45 2.378 2.563 2.586 2.603 2.508 2.301 2.548 2.161 2.205 2.423 2.352 2.261 2.236 2.182 2.204 8.87 7.596 6.443 5.49 4.749 4.084 3.228 2.446 10.047 8.251 6.807 5.715 4.581 3.961 3.158 2.335 9.897 8.148 6.911 5.679 4.731 3.864 3.022 2.399 8.675 7.487 6.344 5.312 4.595 3.727 2.937 2.182 7.42 6.208 5.386 4.836 4.341 3.509 2.758 2.077 6.226 5.046 4.708 4.158 3.798 3.292 2.514 2.01 5.452 4.481 4.051 3.685 3.375 2.893 2.37 1.884 4.986 4.013 3.657 3.45 2.931 2.604 2.235 1.954 4.423 9.681 20.829 37.207 36.444 20.676 9.379 4.422 5.018 12.592 37.301 91.369 90.815 37.404 12.43 4.802 5.023 12.775 39.08 91.731 88.9 36.573 12.38 4.89 3.972 8.884 21.217 38.979 36.923 20.242 8.712 3.774 2.664 5.025 9.095 13.023 12.742 8.996 4.976 2.499 1.764 2.697 4.035 5.064 5.118 3.869 2.66 1.729 1.181 1.361 1.862 2.109 2.17 1.868 1.438 1.199 0.757 0.818 0.959 1.102 1.03 1.002 0.839 0.845 2.362 3.215 3.935 4.803 5.564 6.486 7.734 9.399 2.462 3.181 3.791 4.707 5.735 7.134 8.106 10.305 2.358 3.113 3.952 4.764 5.548 6.936 8.42 10.185 2.252 2.912 3.762 4.555 5.418 6.492 7.477 9.017 2.085 2.863 3.606 4.341 4.959 5.489 6.175 7.441 2.014 2.57 3.313 3.793 4.35 4.792 5.148 6.169 1.863 2.35 2.855 3.299 3.778 4.093 4.42 5.528 1.918 2.182 2.583 2.86 3.37 3.642 4.007 5.156 1.332 1.378 1.437 1.534 1.542 1.431 1.335 1.413 1.873 1.918 2.155 2.284 2.325 2.257 1.926 1.744 2.686 2.888 3.353 3.553 3.615 3.338 2.827 2.665 3.795 4.298 5.089 5.621 5.644 5.151 4.299 3.755 5.281 6.334 7.532 8.337 8.095 7.386 6.239 5.112 6.657 8.563 10.501 11.726 11.656 10.481 8.679 6.53 7.826 10.705 13.594 16.197 16.121 13.83 10.725 7.893 9.1 12.21 16.47 20.335 20.025 16.34 11.967 8.95  
4.796 3.809 3.306 3.422 3.408 3.377 3.139 2.764 3.941 4.252 3.765 3.351 3.3 3.083 2.749 2.515 3.292 3.654 3.788 3.406 3.095 2.954 2.603 2.274 3.316 3.263 3.342 3.292 3.08 2.898 2.594 2.302 3.23 3.086 3.096 3.11 3.066 2.86 2.641 2.207 3.172 2.77 2.766 2.733 2.715 2.657 2.494 2.126 2.766 2.626 2.502 2.542 2.535 2.401 2.316 2.162 2.48 2.328 2.302 2.266 2.333 2.304 2.142 2.12 15.803 13.999 10.887 8.048 5.503 3.711 2.568 1.776 20.45 16.525 12.188 8.656 5.809 3.77 2.481 1.782 20.549 16.636 11.953 8.555 5.931 3.924 2.538 1.737 16.453 13.957 10.869 7.782 5.438 3.537 2.509 1.629 12.492 10.774 8.997 6.455 4.575 3.11 2.078 1.526 9.071 7.987 6.655 5.158 3.767 2.514 1.807 1.387 6.733 5.536 4.689 3.817 2.835 2.084 1.53 1.158 4.747 3.844 3.318 2.765 2.384 1.924 1.542 1.254 1.164 2.24 4.644 9.949 21.604 36.388 33.772 19.826 1.089 2.239 5.31 13.805 39.587 90.228 80.299 33.586 1.048 2.255 5.185 13.754 40.181 91.508 89.161 36.092 0.959 1.832 4.201 9.672 22.979 41.389 39.859 21.465 0.749 1.442 2.776 5.474 9.839 14.133 13.522 9.873 0.657 1.027 1.782 2.85 4.267 5.42 5.316 4.846 0.507 0.727 0.963 1.459 1.932 2.333 2.379 2.357 0.508 0.545 0.66 0.818 0.989 1.186 1.153 1.31 2.58 2.876 3.146 3.332 3.78 4.171 4.775 6.942 2.636 2.79 3.14 3.38 3.948 4.275 4.902 6.728 2.368 2.684 2.868 3.223 3.904 4.348 5.141 6.868 2.248 2.592 2.789 3.21 3.62 4.304 5.009 6.227 2.257 2.623 2.82 3.035 3.479 4 4.537 5.685 2.279 2.634 2.77 2.917 3.22 3.534 3.85 4.892 2.279 2.548 2.612 2.629 2.874 2.992 3.428 4.325 2.236 2.276 2.463 2.531 2.78 2.907 3.162 3.909 1.024 1.055 1.168 1.436 1.48 1.645 1.661 1.678 1.316 1.345 1.654 1.945 2.165 2.447 2.356 2.263 1.832 1.964 2.364 3.02 3.379 3.773 3.861 3.544 2.106 2.726 3.474 4.365 5.339 5.676 5.796 5.355 2.46 3.531 4.882 6.257 7.687 8.477 8.59 7.603 2.936 4.365 6.45 8.757 10.615 11.824 11.918 10.714 3.591 5.402 7.832 10.864 14.13 16.383 16.364 13.955 4.584 6.313 9.121 12.18 16.519 20.701 20.487 16.337  
5.428 3.767 3.191 2.852 2.75 2.595 2.377 2.598 5.569 3.732 3.148 2.865 2.602 2.267 2.302 2.233 5.044 3.686 3.008 2.668 2.49 2.304 2.176 2.004 4.838 3.671 3.114 2.795 2.473 2.168 2.104 2.081 4.45 3.608 2.977 2.641 2.442 2.144 2.077 1.998 4.201 3.334 2.909 2.513 2.28 2.096 1.991 1.908 3.819 2.974 2.675 2.345 2.042 2.04 2.099 1.976 3.364 2.703 2.4 2.298 2.134 2.021 2.029 2.029 36.27 22.529 10.663 5.149 2.37 1.276 0.698 0.439 89.605 41.927 14.317 5.651 2.411 1.13 0.56 0.331 91.928 43.192 14.584 5.645 2.481 1.086 0.562 0.331 41.208 24.149 10.303 4.446 2.052 0.966 0.49 0.303 14.552 10.635 5.945 2.962 1.508 0.824 0.474 0.327 5.728 4.54 3.046 1.804 1.086 0.598 0.407 0.271 2.629 2.139 1.694 1.116 0.718 0.489 0.353 0.28 1.38 1.094 0.945 0.706 0.545 0.389 0.333 0.296 0.387 0.698 1.176 2.352 4.972 10.709 22.469 36.758 0.34 0.553 1.14 2.357 5.673 14.882 42.447 89.103 0.33 0.564 1.122 2.423 5.702 14.899 42.978 88.946 0.304 0.503 0.99 2.056 4.565 10.727 24.481 40.654 0.294 0.429 0.785 1.539 2.986 5.981 10.685 14.681 0.288 0.385 0.634 1.054 1.804 3.056 4.57 5.778 0.275 0.331 0.492 0.724 1.116 1.513 2.099 2.583 0.309 0.322 0.383 0.497 0.706 0.917 1.133 1.404 2.485 2.33 2.48 2.721 2.891 3.095 3.591 5.595 2.252 2.308 2.348 2.579 2.791 3.116 3.899 5.511 2.226 2.135 2.312 2.515 2.74 3.102 3.702 5.155 2.091 2.173 2.308 2.483 2.737 3.057 3.652 4.734 2.07 2.1 2.178 2.376 2.655 3.057 3.411 4.509 1.973 2.007 2.133 2.251 2.542 2.907 3.336 4.157 2.038 2.052 2.015 2.119 2.379 2.61 3.003 3.773 2.018 2.006 2.071 2.205 2.31 2.429 2.695 3.404 0.858 0.695 0.858 1.042 1.25 1.433 1.732 2.329 0.736 0.885 1.132 1.431 1.735 2.145 2.467 3.222 0.876 1.106 1.575 2.068 2.672 3.156 3.776 4.502 1.05 1.368 2.059 2.903 3.879 4.89 5.665 6.764 1.243 1.824 2.635 3.847 5.481 6.964 8.486 9.589 1.42 2.105 3.139 4.842 7.065 9.922 11.973 13.403 1.781 2.459 3.799 5.593 8.544 11.905 15.949 19.219 2.222 3.163 4.641 6.717 9.428 13.489 19.086 25.736  
